ticker,isin,fund_name,inception_date,category,rating,risk_rating,performance_rating,equity_style_score,equity_size_score,price_prospective_earnings,price_book_ratio,price_sales_ratio,price_cash_flow_ratio,dividend_yield_factor,long_term_projected_earnings_growth,historical_earnings_growth,sales_growth,cash_flow_growth,book_value_growth,roa,roe,roic,asset_stock,asset_bond,asset_cash,asset_other,sector_basic_materials,sector_consumer_cyclical,sector_financial_services,sector_consumer_defensive,sector_communication_services,sector_industrials,sector_technology,market_cap_giant,market_cap_large,market_cap_medium,market_cap_small,market_cap_micro,ongoing_cost,management_fees,environmental_score,social_score,governance_score,sustainability_score,involvement_abortive_contraceptive,involvement_alcohol,involvement_animal_testing,involvement_controversial_weapons,involvement_gambling,involvement_gmo,involvement_military_contracting,involvement_nuclear,involvement_palm_oil,involvement_pesticides,involvement_small_arms,involvement_thermal_coal,involvement_tobacco,nav_per_share,shareclass_size,fund_size,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2020_q3,fund_return_2020_q2,fund_return_2020_q1,fund_return_2019_q4,fund_return_2019_q3,fund_return_2019_q2,fund_return_2019_q1,fund_return_2018_q4,fund_return_2018_q3,fund_return_2018_q2,fund_return_2018_q1,fund_return_2017_q4,fund_return_2017_q3,fund_return_2017_q2,fund_return_2017_q1,fund_return_2016_q4,fund_return_2016_q3,fund_return_2016_q2,fund_return_2016_q1,fund_return_2015_q4,quarters_up,quarters_down
0P00000IQX,IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),2000-04-27,UK Large-Cap Equity,3.0,2.0,3.0,119.27,266.54,12.59,1.31,1.01,7.49,4.08,6.63,-6.67,1.81,12.06,3.27,3.05,12.18,7.41,98.2,0.0,1.01,0.78,11.81,8.75,16.88,19.01,6.87,8.93,0.86,44.89,33.89,21.2,0.01,0.0,0.07,0.0,6.06,10.47,7.52,24.06,15.85,4.09,34.06,1.19,1.38,0.0,1.56,0.0,0.0,0.0,1.04,3.86,5.13,621.9,8097220000.0,8125630000.0,-13.98,-1.46,4.63,17.1,-8.97,13.13,18.67,-3.8,9.09,-24.1,2.67,0.98,3.49,9.14,-9.53,-0.74,9.55,-7.47,5.39,1.93,0.94,4.33,3.73,7.15,6.54,0.21,2.99,16,7
0P00000IYO,DE0005933964,iShares SLI UCITS ETF (DE),2001-03-22,Switzerland Equity,2.0,4.0,2.0,162.88,288.11,16.32,2.07,1.79,14.59,3.34,6.93,6.82,1.4,9.66,0.66,7.08,20.01,13.55,98.75,0.0,1.25,0.0,12.67,5.93,24.68,8.39,1.72,13.84,3.66,36.96,56.04,7.0,0.0,0.0,0.51,0.0,3.49,9.84,8.17,21.49,22.53,0.0,44.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,111.62,248400000.0,248400000.0,8.88,8.3,11.82,25.99,-8.7,13.24,16.78,1.99,15.5,-10.88,1.7,2.18,11.52,8.71,-11.59,6.95,3.38,-6.61,0.95,0.06,4.46,7.33,6.4,7.31,5.78,-3.32,7.97,17,6
0P00000IYQ,DE000A0Q4R36,iShares STOXX Europe 600 Health Care UCITS ETF (DE),2001-04-25,Sector Equity Healthcare,3.0,2.0,2.0,189.51,312.82,15.78,3.32,2.96,13.28,2.65,8.74,0.48,3.95,7.42,4.43,9.47,24.49,16.77,99.24,0.0,0.76,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,67.95,23.99,8.06,0.0,0.0,0.46,0.0,1.58,13.4,9.54,24.57,73.92,0.0,96.31,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,89.31,662310000.0,662310000.0,5.27,10.04,10.06,25.2,0.1,8.51,5.15,-2.43,13.76,-4.61,3.35,4.71,6.32,8.81,-6.18,5.9,7.16,-5.98,-2.6,-1.03,3.67,8.57,-2.69,-0.06,14.62,-5.67,6.15,12,11
0P00000IYS,DE000A0H08Q4,iShares STOXX Europe 600 Technology UCITS ETF (DE),2001-04-25,Sector Equity Technology,2.0,3.0,2.0,244.04,284.72,23.8,3.26,3.46,15.86,1.29,14.8,5.47,8.99,8.78,14.02,10.82,19.04,15.63,99.68,0.0,0.32,0.0,0.0,2.15,0.0,0.0,13.24,0.0,84.61,50.56,28.77,20.03,0.64,0.0,0.46,0.0,2.69,6.63,6.31,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44,258890000.0,258890000.0,11.4,8.83,16.45,30.29,-9.19,25.18,21.23,1.76,30.83,-13.48,5.39,-2.06,11.83,12.87,-15.46,-0.02,11.11,-3.3,1.4,5.78,2.81,13.52,-1.29,19.99,1.2,1.15,14.49,15,8
0P00000IYW,DE000A0F5UJ7,iShares STOXX Europe 600 Banks UCITS ETF (DE),2001-04-25,Sector Equity Financial Services,2.0,4.0,2.0,50.22,250.27,8.44,0.39,0.99,9.25,1.4,7.13,-5.12,-8.47,5.98,0.42,0.18,3.35,9.69,99.01,0.0,0.99,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.82,74.41,9.43,0.34,0.0,0.46,0.0,1.61,12.73,11.18,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,294530000.0,294530000.0,-24.74,-14.74,-4.14,8.71,-25.0,16.12,12.53,-12.5,9.32,-35.96,5.25,-1.83,2.83,2.31,-15.17,-1.63,-4.34,-6.05,-2.08,4.8,6.23,6.52,20.52,17.1,-6.86,-14.4,-0.3,10,13
0P00000IZ2,DE0006289309,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),2001-04-25,Sector Equity Financial Services,1.0,5.0,1.0,18.73,240.33,7.91,0.33,0.77,9.25,1.86,5.65,-4.72,-10.1,5.98,0.55,0.13,2.95,9.69,99.24,0.0,0.76,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,86.86,12.48,0.66,0.0,0.51,0.0,1.6,13.02,12.04,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,744070000.0,744070000.0,-25.36,-16.92,-5.46,11.36,-30.28,19.46,10.04,-13.41,19.03,-41.66,6.88,-1.33,2.15,3.38,-17.47,-2.65,-8.63,-5.03,-4.48,5.95,8.28,9.01,25.36,16.4,-11.3,-14.99,-1.79,10,13
0P00000IZ6,DE0006289382,iShares Dow Jones Global Titans 50 UCITS ETF (DE),2001-08-14,Global Large-Cap Blend Equity,5.0,3.0,5.0,189.59,380.84,21.62,4.24,3.45,14.57,1.92,9.63,10.88,7.41,8.08,4.42,11.02,31.07,16.87,99.66,0.0,0.34,0.0,0.81,12.96,9.32,10.39,14.2,0.72,34.76,90.81,9.19,0.0,0.0,0.0,0.51,0.0,2.83,11.35,8.67,22.86,13.36,0.0,24.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.78,45.81,725170000.0,725170000.0,13.16,13.25,16.93,27.57,0.26,10.63,30.43,4.93,16.58,-8.19,2.77,4.34,7.03,11.15,-11.78,9.51,10.5,-6.08,5.91,0.89,-1.2,4.79,7.82,8.13,9.56,2.12,11.89,17,6
0P00000IZA,DE0005933972,iShares TecDAX® UCITS ETF (DE),2001-04-06,Sector Equity Technology,2.0,3.0,2.0,218.08,215.9,22.29,2.75,1.75,8.64,1.49,9.39,12.64,5.38,9.77,6.1,5.43,13.38,8.61,100.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,18.66,3.77,38.46,17.99,33.94,39.96,8.12,0.0,0.51,0.0,3.42,10.49,7.95,22.6,12.79,0.0,36.46,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,27.6,872680000.0,872680000.0,6.26,6.91,16.26,15.4,-2.69,45.48,14.05,3.71,16.62,-10.28,2.5,-3.35,11.51,4.47,-12.33,5.19,8.79,-3.02,4.86,11.6,9.64,13.38,-1.1,17.23,3.24,-4.71,5.13,16,7
0P00000IZC,DE0005933923,iShares MDAX® UCITS ETF (DE),2001-04-19,Germany Small/Mid-Cap Equity,3.0,3.0,3.0,206.71,198.02,19.71,1.67,0.94,11.75,1.27,8.08,3.31,3.33,1.74,5.27,5.46,13.85,6.22,99.95,0.0,0.05,0.0,14.31,14.02,5.73,0.53,7.91,23.08,7.35,11.95,30.62,54.16,3.27,0.0,0.51,0.0,5.12,9.62,7.72,23.59,5.75,0.0,26.51,9.2,0.0,0.0,10.49,0.98,0.0,0.0,1.29,0.98,0.0,240.05,1529840000.0,1529840000.0,6.04,2.32,11.32,22.99,-17.48,22.09,22.98,4.25,25.63,-22.46,4.65,-0.22,7.26,9.8,-16.43,1.14,1.55,-3.85,1.77,6.05,4.88,7.86,1.13,13.33,1.8,5.39,7.84,18,5
0P00000IZE,DE0005933931,iShares Core DAX® UCITS ETF (DE),2000-12-27,Germany Equity,4.0,3.0,3.0,136.91,296.65,13.11,1.31,0.85,6.5,2.92,8.25,-8.81,-0.65,3.0,8.04,1.81,7.9,4.46,99.95,0.0,0.05,0.0,17.17,17.01,15.28,2.58,4.85,14.17,10.84,67.32,30.92,1.75,0.0,0.0,0.16,0.0,5.16,7.18,8.23,20.57,8.63,0.0,36.51,0.0,0.0,0.0,0.76,4.34,0.0,10.23,0.0,2.21,0.0,111.4,6004200000.0,6004200000.0,4.01,-0.23,8.79,17.69,-17.57,16.77,23.43,3.57,26.81,-21.81,2.07,-0.87,11.17,4.62,-13.05,0.07,2.32,-7.41,1.28,4.31,2.82,7.5,7.47,13.21,1.76,-0.31,11.35,16,7
0P00000IZG,DE000A0H08R2,iShares STOXX Europe 600 Telecommunications UCITS ETF (DE),2001-04-25,Sector Equity Communications,2.0,3.0,3.0,136.38,252.8,12.9,1.27,0.81,2.64,4.22,12.49,-1.45,-1.49,6.52,-3.36,2.45,10.32,5.39,99.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,82.09,0.0,17.91,17.74,70.71,11.55,0.0,0.0,0.46,0.0,2.51,8.04,7.0,17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,478030000.0,478030000.0,-8.11,-4.81,-2.1,-0.61,-8.21,4.38,1.79,-8.93,13.25,-16.42,-5.8,4.87,2.52,-1.87,3.78,-2.67,0.76,-9.81,-0.18,-0.13,0.61,4.08,-1.13,2.09,-0.24,1.09,5.26,12,11
0P00000IZK,DE0005933949,iShares STOXX Europe 50 UCITS ETF (DE),2000-12-27,Europe Large-Cap Blend Equity,3.0,2.0,3.0,154.43,333.64,14.26,1.8,1.52,10.03,3.48,8.98,-3.93,2.13,9.46,3.39,5.75,16.8,10.83,98.26,0.0,1.74,0.0,8.94,7.17,10.93,20.21,3.35,8.9,8.26,89.43,10.57,0.0,0.0,0.0,0.51,0.0,4.77,9.68,7.81,22.26,25.62,6.05,51.5,1.86,0.0,0.0,1.86,1.73,0.0,2.85,0.84,2.67,1.99,30.1,156770000.0,156770000.0,-3.35,2.0,7.49,21.1,-9.53,13.51,15.98,-2.38,13.11,-15.77,1.75,0.98,7.32,9.82,-9.18,1.98,5.18,-7.12,1.11,2.49,2.99,6.36,4.61,6.04,7.81,-3.02,5.51,16,7
0P00000K38,FI0008805627,Seligson & Co OMX Helsinki 25 -indeksiosuusrahasto ETF,2002-02-08,Finland Equity,4.0,2.0,4.0,144.75,217.48,14.67,1.66,1.34,9.11,3.19,8.95,-5.11,3.42,1.95,0.55,6.94,15.5,13.92,99.95,0.0,0.05,0.0,15.82,5.13,20.08,4.12,4.76,19.58,11.46,0.0,68.9,29.84,1.26,0.0,0.16,0.1582,5.71,7.28,6.98,19.97,2.72,0.0,3.5,0.0,0.0,0.0,0.0,13.77,0.0,0.0,0.0,0.0,0.0,55.65,323620000.0,323620000.0,14.94,8.24,15.55,12.65,-2.28,16.56,31.6,8.53,22.14,-15.61,0.01,1.24,3.42,7.59,-14.27,4.22,7.2,2.02,0.24,1.1,9.75,4.8,4.1,13.02,8.77,2.83,13.83,19,4
0P00000KG0,LU0136234068,UBS ETF - EURO STOXX 50 UCITS ETF (EUR) A-dis,2001-10-29,Eurozone Large-Cap Equity,3.0,4.0,3.0,156.35,312.2,14.63,1.47,1.16,9.09,2.76,11.04,-2.63,2.51,7.13,5.47,3.8,10.42,6.4,98.88,0.0,1.12,0.0,10.53,13.67,12.78,11.32,4.3,14.28,13.35,73.15,25.79,1.06,0.0,0.0,0.16,0.15,4.58,7.8,7.56,19.95,6.32,7.28,29.27,2.78,0.0,0.0,2.78,3.47,0.0,4.23,1.26,2.44,0.0,34.45,368370000.0,368370000.0,-1.29,1.86,8.59,22.74,-11.41,14.84,19.69,-0.69,20.81,-22.59,1.46,2.83,8.88,8.05,-11.02,0.99,5.21,-6.3,-0.98,4.91,3.1,7.24,8.23,9.46,2.54,-1.46,6.59,15,8
0P00000KG2,LU0136234654,UBS ETF - MSCI USA UCITS ETF (USD) A-dis,2001-10-29,US Large-Cap Blend Equity,4.0,3.0,4.0,162.76,293.68,19.71,3.13,2.31,13.33,1.91,9.36,10.8,7.01,7.15,6.57,8.28,25.13,13.78,99.62,0.0,0.38,0.0,2.31,11.56,12.74,6.95,11.27,8.65,24.36,46.12,34.58,18.84,0.46,0.0,0.14,0.14,3.78,10.95,7.94,22.78,8.58,0.2,17.02,1.75,0.15,0.07,2.31,2.12,0.0,0.12,0.76,1.57,0.63,348.15,621240000.0,621760000.0,14.1,13.15,16.92,25.83,-0.37,11.14,30.71,4.7,19.04,-12.99,1.21,4.96,6.45,11.27,-12.26,8.12,11.77,-6.04,6.49,0.74,-1.07,4.72,9.24,7.38,8.95,2.28,11.41,17,6
0P00000KG8,LU0136242590,UBS ETF - FTSE 100 UCITS ETF (GBP) A-dis,2001-10-31,UK Large-Cap Equity,3.0,2.0,3.0,118.21,266.9,12.52,1.31,1.02,7.47,4.1,6.62,-6.68,1.83,12.32,3.27,3.11,12.18,7.42,98.71,0.0,0.54,0.75,12.0,8.76,17.04,18.83,6.92,8.51,0.87,45.17,33.74,21.08,0.01,0.0,0.21,0.2,6.07,10.47,7.52,24.06,15.86,4.08,34.06,1.19,1.37,0.0,1.56,0.0,0.0,0.0,1.04,3.87,5.13,58.92,64160000.0,64160000.0,-14.84,-1.47,4.52,18.47,-8.31,11.41,17.63,-3.62,10.25,-25.42,3.82,1.39,3.45,8.79,-9.78,-0.86,9.47,-6.35,4.39,1.35,1.37,3.88,4.09,8.8,4.43,-0.54,4.14,15,8
0P00000M85,FR0007068085,BNP Paribas Easy Stoxx Europe 600 Oil&Gas UCITS ETF,2002-02-08,Sector Equity Energy,3.0,3.0,3.0,106.5,260.25,23.43,0.76,0.39,2.6,9.55,25.43,6.38,5.16,15.44,0.48,-0.92,-3.56,-0.55,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51,0.0,41.45,45.35,11.62,1.58,0.0,0.3,0.3,12.4,8.61,7.79,28.79,0.0,0.0,14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.4,3030000.0,3030000.0,5.99,4.1,12.39,6.64,0.09,6.13,48.92,-0.21,2.72,4.44,-1.79,-2.6,2.18,9.1,-15.41,5.46,16.97,-4.08,4.56,8.28,-4.71,-1.62,13.53,3.79,17.0,8.02,4.85,14,9
0P00000MRI,FR0007054358,Lyxor Euro Stoxx 50 (DR) UCITS ETF Dist,2001-02-19,Eurozone Large-Cap Equity,3.0,4.0,3.0,160.18,312.85,14.92,1.54,1.2,9.18,2.71,11.04,-2.63,2.51,7.13,5.47,4.03,10.87,6.78,100.0,0.0,0.0,0.0,10.53,13.49,11.64,11.7,4.66,13.88,14.07,73.87,25.02,1.11,0.0,0.0,0.2,0.2,4.58,7.8,7.56,19.95,6.33,7.28,29.27,2.78,0.0,0.0,2.78,3.47,0.0,4.23,1.25,2.43,0.0,33.42,4281149999.0,4377120000.0,-0.48,1.93,8.6,20.69,-9.93,13.9,19.78,-1.0,20.58,-21.76,0.78,1.93,9.89,6.92,-10.09,1.1,4.17,-4.88,-1.46,4.89,2.99,7.0,8.38,9.45,2.42,-1.4,6.48,15,8
0P00000MRP,FR0007052782,Lyxor CAC 40 (DR) UCITS ETF Dist,2000-12-13,France Equity,4.0,3.0,4.0,149.02,299.2,14.62,1.35,1.07,9.32,2.21,12.94,4.06,0.55,8.83,3.84,3.69,9.43,5.52,100.0,0.0,0.0,0.0,6.5,19.72,7.44,13.06,4.45,22.26,6.5,57.6,37.99,4.4,0.0,0.0,0.25,0.25,4.3,8.42,7.61,20.34,8.87,12.62,24.47,6.45,0.0,0.0,6.45,1.91,0.0,0.0,3.1,0.0,0.0,53.06,3691360000.0,3812640000.0,-2.59,3.36,10.47,22.67,-7.09,17.1,25.81,-1.9,16.34,-22.71,0.88,1.5,10.29,8.62,-13.1,4.29,6.57,-3.8,0.54,4.64,5.16,5.83,8.06,9.43,4.2,2.1,4.09,17,6
0P00000MSR,DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),2000-12-27,Eurozone Large-Cap Equity,3.0,4.0,3.0,157.38,312.43,14.68,1.48,1.17,9.11,2.75,11.04,-2.63,2.51,7.13,5.47,3.87,10.54,6.52,99.66,0.0,0.34,0.0,10.42,13.6,12.57,11.42,4.36,13.93,13.75,73.36,25.58,1.06,0.0,0.0,0.13,0.0,4.58,7.8,7.56,19.95,6.33,7.28,29.28,2.78,0.0,0.0,2.78,3.47,0.0,4.23,1.25,2.43,0.0,34.55,5457700000.0,5457700000.0,-1.24,1.93,8.72,22.84,-11.06,14.44,20.04,-0.8,20.62,-22.46,1.52,1.83,9.95,8.08,-11.02,0.96,4.37,-5.14,-1.29,4.93,3.1,7.17,8.5,9.53,2.56,-1.51,6.71,15,8
